Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,9,10,};
Customers = {11,12,13,14,15,16,17,18,19,20,};
Depot_N1 = {21};

v = 1.0;
C = 200.0;
Q = 77.75;
g = 3.47;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	77.0
4	:	77.0
5	:	57.0
6	:	57.0
7	:	48.0
8	:	48.0
9	:	93.0
10	:	93.0
11	:	58.0
12	:	88.0
13	:	42.0
14	:	22.0
15	:	62.0
16	:	55.0
17	:	42.0
18	:	23.0
19	:	63.0
20	:	60.0
21	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	52.0
4	:	52.0
5	:	82.0
6	:	82.0
7	:	8.0
8	:	8.0
9	:	43.0
10	:	43.0
11	:	75.0
12	:	35.0
13	:	68.0
14	:	75.0
15	:	80.0
16	:	85.0
17	:	10.0
18	:	52.0
19	:	58.0
20	:	80.0
21	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	20.0
12	:	20.0
13	:	10.0
14	:	30.0
15	:	30.0
16	:	20.0
17	:	40.0
18	:	10.0
19	:	10.0
20	:	10.0
21	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	181.0
12	:	667.0
13	:	584.0
14	:	1042.0
15	:	274.0
16	:	744.0
17	:	810.0
18	:	263.0
19	:	929.0
20	:	177.0
21	:	0.0
]#;

l = #[
0	:	1236.0
1	:	1236.0
2	:	1236.0
3	:	1236.0
4	:	1236.0
5	:	1236.0
6	:	1236.0
7	:	1236.0
8	:	1236.0
9	:	1236.0
10	:	1236.0
11	:	247.0
12	:	731.0
13	:	656.0
14	:	1106.0
15	:	330.0
16	:	798.0
17	:	868.0
18	:	311.0
19	:	989.0
20	:	243.0
21	:	1236.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	90.0
12	:	90.0
13	:	90.0
14	:	90.0
15	:	90.0
16	:	90.0
17	:	90.0
18	:	90.0
19	:	90.0
20	:	90.0
21	:	0.0
]#;
