Depot_0 = {0};
Stations = {1,2,3,4,5,6,};
Customers = {7,8,9,10,11,};
Depot_N1 = {12};

v = 1.0;
C = 1000.0;
Q = 77.75;
g = 0.39;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	57.0
4	:	57.0
5	:	77.0
6	:	77.0
7	:	41.0
8	:	65.0
9	:	55.0
10	:	58.0
11	:	87.0
12	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	82.0
4	:	82.0
5	:	30.0
6	:	30.0
7	:	37.0
8	:	82.0
9	:	54.0
10	:	75.0
11	:	30.0
12	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	16.0
8	:	10.0
9	:	26.0
10	:	20.0
11	:	10.0
12	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	383.0
8	:	59.0
9	:	142.0
10	:	73.0
11	:	69.0
12	:	0.0
]#;

l = #[
0	:	960.0
1	:	960.0
2	:	960.0
3	:	960.0
4	:	960.0
5	:	960.0
6	:	960.0
7	:	905.0
8	:	632.0
9	:	532.0
10	:	561.0
11	:	539.0
12	:	960.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	10.0
8	:	10.0
9	:	10.0
10	:	10.0
11	:	10.0
12	:	0.0
]#;
