Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,};
Customers = {9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,};
Depot_N1 = {24};

v = 1.0;
C = 700.0;
Q = 77.75;
g = 3.47;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	77.0
4	:	77.0
5	:	27.0
6	:	27.0
7	:	77.0
8	:	77.0
9	:	25.0
10	:	30.0
11	:	58.0
12	:	45.0
13	:	87.0
14	:	65.0
15	:	10.0
16	:	75.0
17	:	38.0
18	:	28.0
19	:	25.0
20	:	92.0
21	:	33.0
22	:	86.0
23	:	58.0
24	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	52.0
4	:	52.0
5	:	10.0
6	:	10.0
7	:	30.0
8	:	30.0
9	:	50.0
10	:	50.0
11	:	75.0
12	:	65.0
13	:	30.0
14	:	60.0
15	:	35.0
16	:	55.0
17	:	10.0
18	:	52.0
19	:	35.0
20	:	30.0
21	:	35.0
22	:	46.0
23	:	70.0
24	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	10.0
10	:	10.0
11	:	20.0
12	:	20.0
13	:	10.0
14	:	30.0
15	:	20.0
16	:	20.0
17	:	10.0
18	:	20.0
19	:	10.0
20	:	10.0
21	:	10.0
22	:	30.0
23	:	20.0
24	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	2645.0
10	:	2650.0
11	:	79.0
12	:	939.0
13	:	1082.0
14	:	27.0
15	:	2020.0
16	:	268.0
17	:	1056.0
18	:	2647.0
19	:	162.0
20	:	888.0
21	:	17.0
22	:	503.0
23	:	27.0
24	:	0.0
]#;

l = #[
0	:	3390.0
1	:	3390.0
2	:	3390.0
3	:	3390.0
4	:	3390.0
5	:	3390.0
6	:	3390.0
7	:	3390.0
8	:	3390.0
9	:	3285.0
10	:	3290.0
11	:	719.0
12	:	1579.0
13	:	1722.0
14	:	667.0
15	:	2660.0
16	:	908.0
17	:	1696.0
18	:	3287.0
19	:	802.0
20	:	1528.0
21	:	657.0
22	:	1143.0
23	:	667.0
24	:	3390.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	90.0
10	:	90.0
11	:	90.0
12	:	90.0
13	:	90.0
14	:	90.0
15	:	90.0
16	:	90.0
17	:	90.0
18	:	90.0
19	:	90.0
20	:	90.0
21	:	90.0
22	:	90.0
23	:	90.0
24	:	0.0
]#;
