Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,};
Customers = {17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,};
Depot_N1 = {32};

v = 1.0;
C = 200.0;
Q = 60.63;
g = 0.49;
h = 1.0;

XCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	64.0
4	:	64.0
5	:	28.0
6	:	28.0
7	:	20.0
8	:	20.0
9	:	15.0
10	:	15.0
11	:	11.0
12	:	11.0
13	:	-2.0
14	:	-2.0
15	:	25.0
16	:	25.0
17	:	5.0
18	:	20.0
19	:	6.0
20	:	35.0
21	:	20.0
22	:	21.0
23	:	49.0
24	:	13.0
25	:	5.0
26	:	41.0
27	:	37.0
28	:	15.0
29	:	27.0
30	:	25.0
31	:	56.0
32	:	35.0
]#;

YCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	37.0
4	:	37.0
5	:	62.0
6	:	62.0
7	:	61.0
8	:	61.0
9	:	42.0
10	:	42.0
11	:	18.0
12	:	18.0
13	:	25.0
14	:	25.0
15	:	4.0
16	:	4.0
17	:	5.0
18	:	65.0
19	:	38.0
20	:	17.0
21	:	50.0
22	:	24.0
23	:	11.0
24	:	52.0
25	:	30.0
26	:	49.0
27	:	56.0
28	:	19.0
29	:	43.0
30	:	24.0
31	:	37.0
32	:	35.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	0.0
17	:	16.0
18	:	12.0
19	:	16.0
20	:	7.0
21	:	5.0
22	:	28.0
23	:	18.0
24	:	36.0
25	:	2.0
26	:	10.0
27	:	5.0
28	:	1.0
29	:	9.0
30	:	20.0
31	:	6.0
32	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	0.0
17	:	113.0
18	:	55.0
19	:	125.0
20	:	0.0
21	:	88.0
22	:	101.0
23	:	0.0
24	:	147.0
25	:	87.0
26	:	36.0
27	:	49.0
28	:	87.0
29	:	111.0
30	:	140.0
31	:	108.0
32	:	0.0
]#;

l = #[
0	:	230.0
1	:	230.0
2	:	230.0
3	:	230.0
4	:	230.0
5	:	230.0
6	:	230.0
7	:	230.0
8	:	230.0
9	:	230.0
10	:	230.0
11	:	230.0
12	:	230.0
13	:	230.0
14	:	230.0
15	:	230.0
16	:	230.0
17	:	123.0
18	:	65.0
19	:	135.0
20	:	202.0
21	:	98.0
22	:	111.0
23	:	192.0
24	:	157.0
25	:	97.0
26	:	46.0
27	:	59.0
28	:	97.0
29	:	121.0
30	:	150.0
31	:	118.0
32	:	230.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	0.0
14	:	0.0
15	:	0.0
16	:	0.0
17	:	10.0
18	:	10.0
19	:	10.0
20	:	10.0
21	:	10.0
22	:	10.0
23	:	10.0
24	:	10.0
25	:	10.0
26	:	10.0
27	:	10.0
28	:	10.0
29	:	10.0
30	:	10.0
31	:	10.0
32	:	0.0
]#;
