Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,9,10,};
Customers = {11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,};
Depot_N1 = {26};

v = 1.0;
C = 200.0;
Q = 77.75;
g = 0.39;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	57.0
4	:	57.0
5	:	21.0
6	:	21.0
7	:	10.0
8	:	10.0
9	:	77.0
10	:	77.0
11	:	85.0
12	:	57.0
13	:	2.0
14	:	18.0
15	:	37.0
16	:	65.0
17	:	15.0
18	:	60.0
19	:	85.0
20	:	35.0
21	:	35.0
22	:	63.0
23	:	12.0
24	:	31.0
25	:	37.0
26	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	82.0
4	:	82.0
5	:	83.0
6	:	83.0
7	:	28.0
8	:	28.0
9	:	30.0
10	:	30.0
11	:	25.0
12	:	29.0
13	:	40.0
14	:	75.0
15	:	47.0
16	:	35.0
17	:	80.0
18	:	80.0
19	:	35.0
20	:	40.0
21	:	69.0
22	:	65.0
23	:	24.0
24	:	67.0
25	:	31.0
26	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	10.0
12	:	18.0
13	:	20.0
14	:	20.0
15	:	6.0
16	:	3.0
17	:	10.0
18	:	10.0
19	:	30.0
20	:	16.0
21	:	23.0
22	:	8.0
23	:	13.0
24	:	3.0
25	:	14.0
26	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	73.0
13	:	160.0
14	:	0.0
15	:	145.0
16	:	0.0
17	:	125.0
18	:	100.0
19	:	0.0
20	:	31.0
21	:	0.0
22	:	106.0
23	:	58.0
24	:	0.0
25	:	0.0
26	:	0.0
]#;

l = #[
0	:	240.0
1	:	240.0
2	:	240.0
3	:	240.0
4	:	240.0
5	:	240.0
6	:	240.0
7	:	240.0
8	:	240.0
9	:	240.0
10	:	240.0
11	:	178.0
12	:	103.0
13	:	190.0
14	:	196.0
15	:	175.0
16	:	200.0
17	:	155.0
18	:	130.0
19	:	182.0
20	:	61.0
21	:	210.0
22	:	136.0
23	:	88.0
24	:	210.0
25	:	210.0
26	:	240.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	10.0
12	:	10.0
13	:	10.0
14	:	10.0
15	:	10.0
16	:	10.0
17	:	10.0
18	:	10.0
19	:	10.0
20	:	10.0
21	:	10.0
22	:	10.0
23	:	10.0
24	:	10.0
25	:	10.0
26	:	0.0
]#;
