Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,9,10,};
Customers = {11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,};
Depot_N1 = {26};

v = 1.0;
C = 700.0;
Q = 77.75;
g = 3.47;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	77.0
4	:	77.0
5	:	31.0
6	:	31.0
7	:	39.0
8	:	39.0
9	:	77.0
10	:	77.0
11	:	18.0
12	:	75.0
13	:	33.0
14	:	35.0
15	:	23.0
16	:	55.0
17	:	62.0
18	:	50.0
19	:	38.0
20	:	92.0
21	:	64.0
22	:	35.0
23	:	25.0
24	:	14.0
25	:	90.0
26	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	52.0
4	:	52.0
5	:	84.0
6	:	84.0
7	:	26.0
8	:	26.0
9	:	30.0
10	:	30.0
11	:	75.0
12	:	55.0
13	:	35.0
14	:	32.0
15	:	52.0
16	:	80.0
17	:	69.0
18	:	40.0
19	:	5.0
20	:	30.0
21	:	46.0
22	:	66.0
23	:	30.0
24	:	66.0
25	:	35.0
26	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	20.0
12	:	20.0
13	:	10.0
14	:	10.0
15	:	10.0
16	:	10.0
17	:	10.0
18	:	50.0
19	:	30.0
20	:	10.0
21	:	20.0
22	:	10.0
23	:	10.0
24	:	10.0
25	:	10.0
26	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	508.0
13	:	27.0
14	:	0.0
15	:	2832.0
16	:	890.0
17	:	130.0
18	:	1910.0
19	:	0.0
20	:	0.0
21	:	0.0
22	:	28.0
23	:	587.0
24	:	1176.0
25	:	845.0
26	:	0.0
]#;

l = #[
0	:	3390.0
1	:	3390.0
2	:	3390.0
3	:	3390.0
4	:	3390.0
5	:	3390.0
6	:	3390.0
7	:	3390.0
8	:	3390.0
9	:	3390.0
10	:	3390.0
11	:	3266.0
12	:	668.0
13	:	187.0
14	:	3281.0
15	:	2992.0
16	:	1050.0
17	:	290.0
18	:	2070.0
19	:	3254.0
20	:	3244.0
21	:	3275.0
22	:	188.0
23	:	747.0
24	:	1336.0
25	:	1005.0
26	:	3390.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	90.0
12	:	90.0
13	:	90.0
14	:	90.0
15	:	90.0
16	:	90.0
17	:	90.0
18	:	90.0
19	:	90.0
20	:	90.0
21	:	90.0
22	:	90.0
23	:	90.0
24	:	90.0
25	:	90.0
26	:	0.0
]#;
