Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,9,10,11,12,};
Customers = {13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,};
Depot_N1 = {28};

v = 1.0;
C = 200.0;
Q = 60.63;
g = 0.49;
h = 1.0;

XCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	64.0
4	:	64.0
5	:	48.0
6	:	48.0
7	:	21.0
8	:	21.0
9	:	51.0
10	:	51.0
11	:	64.0
12	:	64.0
13	:	55.0
14	:	32.0
15	:	47.0
16	:	37.0
17	:	16.0
18	:	65.0
19	:	53.0
20	:	15.0
21	:	37.0
22	:	41.0
23	:	64.0
24	:	10.0
25	:	55.0
26	:	25.0
27	:	5.0
28	:	35.0
]#;

YCoord = #[
0	:	35.0
1	:	35.0
2	:	35.0
3	:	37.0
4	:	37.0
5	:	60.0
6	:	60.0
7	:	22.0
8	:	22.0
9	:	7.0
10	:	7.0
11	:	19.0
12	:	19.0
13	:	5.0
14	:	12.0
15	:	47.0
16	:	47.0
17	:	22.0
18	:	20.0
19	:	12.0
20	:	30.0
21	:	56.0
22	:	37.0
23	:	42.0
24	:	43.0
25	:	60.0
26	:	24.0
27	:	30.0
28	:	35.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	29.0
14	:	7.0
15	:	13.0
16	:	6.0
17	:	41.0
18	:	6.0
19	:	6.0
20	:	26.0
21	:	5.0
22	:	16.0
23	:	9.0
24	:	9.0
25	:	16.0
26	:	20.0
27	:	2.0
28	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	87.0
14	:	166.0
15	:	108.0
16	:	141.0
17	:	83.0
18	:	156.0
19	:	48.0
20	:	153.0
21	:	39.0
22	:	183.0
23	:	107.0
24	:	27.0
25	:	72.0
26	:	130.0
27	:	77.0
28	:	0.0
]#;

l = #[
0	:	230.0
1	:	230.0
2	:	230.0
3	:	230.0
4	:	230.0
5	:	230.0
6	:	230.0
7	:	230.0
8	:	230.0
9	:	230.0
10	:	230.0
11	:	230.0
12	:	230.0
13	:	117.0
14	:	196.0
15	:	138.0
16	:	171.0
17	:	113.0
18	:	186.0
19	:	78.0
20	:	183.0
21	:	69.0
22	:	213.0
23	:	137.0
24	:	57.0
25	:	102.0
26	:	160.0
27	:	107.0
28	:	230.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	0.0
10	:	0.0
11	:	0.0
12	:	0.0
13	:	10.0
14	:	10.0
15	:	10.0
16	:	10.0
17	:	10.0
18	:	10.0
19	:	10.0
20	:	10.0
21	:	10.0
22	:	10.0
23	:	10.0
24	:	10.0
25	:	10.0
26	:	10.0
27	:	10.0
28	:	0.0
]#;
