Depot_0 = {0};
Stations = {1,2,3,4,5,6,7,8,};
Customers = {9,10,11,12,13,};
Depot_N1 = {14};

v = 1.0;
C = 200.0;
Q = 77.75;
g = 0.39;
h = 1.0;

XCoord = #[
0	:	40.0
1	:	40.0
2	:	40.0
3	:	10.0
4	:	10.0
5	:	27.0
6	:	27.0
7	:	77.0
8	:	77.0
9	:	85.0
10	:	40.0
11	:	4.0
12	:	65.0
13	:	2.0
14	:	40.0
]#;

YCoord = #[
0	:	50.0
1	:	50.0
2	:	50.0
3	:	28.0
4	:	28.0
5	:	10.0
6	:	10.0
7	:	30.0
8	:	30.0
9	:	35.0
10	:	5.0
11	:	18.0
12	:	55.0
13	:	40.0
14	:	50.0
]#;

q = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	30.0
10	:	10.0
11	:	35.0
12	:	14.0
13	:	20.0
14	:	0.0
]#;

e = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	68.0
10	:	55.0
11	:	58.0
12	:	26.0
13	:	96.0
14	:	0.0
]#;

l = #[
0	:	240.0
1	:	240.0
2	:	240.0
3	:	240.0
4	:	240.0
5	:	240.0
6	:	240.0
7	:	240.0
8	:	240.0
9	:	182.0
10	:	185.0
11	:	131.0
12	:	111.0
13	:	190.0
14	:	240.0
]#;

s = #[
0	:	0.0
1	:	0.0
2	:	0.0
3	:	0.0
4	:	0.0
5	:	0.0
6	:	0.0
7	:	0.0
8	:	0.0
9	:	10.0
10	:	10.0
11	:	10.0
12	:	10.0
13	:	10.0
14	:	0.0
]#;
